all_sig_categories	Freq
REGULATION OF RESPONSE TO EXTERNAL STIMULUS%GOBP%GO:0032101	110
NEGATIVE REGULATION OF CELL PROLIFERATION%GOBP%GO:0008285	109
TRANSPORT%GOBP%GO:0006810	109
CELL MOTILITY%GOBP%GO:0048870	108
LOCALIZATION OF CELL%GOBP%GO:0051674	108
POSITIVE REGULATION OF NUCLEIC ACID-TEMPLATED TRANSCRIPTION%GOBP%GO:1903508	108
POSITIVE REGULATION OF PHOSPHORYLATION%GOBP%GO:0042327	108
POSITIVE REGULATION OF PROTEIN PHOSPHORYLATION%GOBP%GO:0001934	108
POSITIVE REGULATION OF RNA BIOSYNTHETIC PROCESS%GOBP%GO:1902680	108
POSITIVE REGULATION OF TRANSCRIPTION, DNA-TEMPLATED%GOBP%GO:0045893	108
SIGNALING%GOBP%GO:0023052	108
NEGATIVE REGULATION OF APOPTOTIC PROCESS%GOBP%GO:0043066	107
REGULATION OF ANATOMICAL STRUCTURE MORPHOGENESIS%GOBP%GO:0022603	107
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDB_C2%HALLMARK_TNFA_SIGNALING_VIA_NFKB	106
MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0043170	106
ORGANIC CYCLIC COMPOUND BINDING%GOMF%GO:0097159	106
POSITIVE REGULATION OF RNA METABOLIC PROCESS%GOBP%GO:0051254	106
REGULATION OF CELL ACTIVATION%GOBP%GO:0050865	106
CIRCULATORY SYSTEM DEVELOPMENT%GOBP%GO:0072359	105
IMMUNE RESPONSE%GOBP%GO:0006955	105
NEGATIVE REGULATION OF DEVELOPMENTAL PROCESS%GOBP%GO:0051093	105
EPITHELIUM DEVELOPMENT%GOBP%GO:0060429	104
POSITIVE REGULATION OF PROTEIN MODIFICATION PROCESS%GOBP%GO:0031401	104
HETEROCYCLIC COMPOUND BINDING%GOMF%GO:1901363	103
SIGNAL TRANSDUCTION%GOBP%GO:0007165	103
CELL MIGRATION%GOBP%GO:0016477	102
NEGATIVE REGULATION OF PROGRAMMED CELL DEATH%GOBP%GO:0043069	102
POSITIVE REGULATION OF CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0051130	102
POSITIVE REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER%GOBP%GO:0045944	102
POSITIVE REGULATION OF CELL MIGRATION%GOBP%GO:0030335	101
RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0009607	101
RESPONSE TO OTHER ORGANISM%GOBP%GO:0051707	101
ANIMAL ORGAN MORPHOGENESIS%GOBP%GO:0009887	100
ENDOMEMBRANE SYSTEM%GOCC%GO:0012505	100
EXTRACELLULAR MATRIX%GOCC%GO:0031012	100
REGULATION OF IMMUNE RESPONSE%GOBP%GO:0050776	100
REGULATION OF MAPK CASCADE%GOBP%GO:0043408	100
RESPONSE TO EXTERNAL BIOTIC STIMULUS%GOBP%GO:0043207	100
ANION BINDING%GOMF%GO:0043168	98
POSITIVE REGULATION OF CELL MOTILITY%GOBP%GO:2000147	98
POSITIVE REGULATION OF CELLULAR COMPONENT MOVEMENT%GOBP%GO:0051272	98
PROTEIN METABOLIC PROCESS%GOBP%GO:0019538	98
BIOLOGICAL ADHESION%GOBP%GO:0022610	97
RESPONSE TO ENDOGENOUS STIMULUS%GOBP%GO:0009719	96
NABA_MATRISOME_ASSOCIATED%MSIGDB_C2%NABA_MATRISOME_ASSOCIATED	95
NEGATIVE REGULATION OF BIOSYNTHETIC PROCESS%GOBP%GO:0009890	95
NEGATIVE REGULATION OF CELLULAR BIOSYNTHETIC PROCESS%GOBP%GO:0031327	95
NEURON PART%GOCC%GO:0097458	95
REGULATION OF CELL DEVELOPMENT%GOBP%GO:0060284	94
REGULATION OF LEUKOCYTE ACTIVATION%GOBP%GO:0002694	94
ENZYME BINDING%GOMF%GO:0019899	93
POSITIVE REGULATION OF CATALYTIC ACTIVITY%GOBP%GO:0043085	93
POSITIVE REGULATION OF CELL DEATH%GOBP%GO:0010942	93
POSITIVE REGULATION OF LOCOMOTION%GOBP%GO:0040017	93
REGULATION OF CYTOKINE PRODUCTION%GOBP%GO:0001817	92
REGULATION OF DEFENSE RESPONSE%GOBP%GO:0031347	92
SIDE OF MEMBRANE%GOCC%GO:0098552	92
MEMBRANE PART%GOCC%GO:0044425	91
NEGATIVE REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0010558	91
NEURON DIFFERENTIATION%GOBP%GO:0030182	91
POSITIVE REGULATION OF TRANSPORT%GOBP%GO:0051050	91
PROTEIN HOMODIMERIZATION ACTIVITY%GOMF%GO:0042803	91
REGULATION OF NERVOUS SYSTEM DEVELOPMENT%GOBP%GO:0051960	91
CELL ADHESION%GOBP%GO:0007155	90
EMBRYO DEVELOPMENT%GOBP%GO:0009790	90
INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:0035556	90
METABOLISM%REACTOME%R-HSA-1430728.8	90
POSITIVE REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:1902533	90
NEURON PROJECTION%GOCC%GO:0043005	89
NUCLEIC ACID BINDING%GOMF%GO:0003676	89
CELLULAR COMPONENT MORPHOGENESIS%GOBP%GO:0032989	88
CYTOKINE SIGNALING IN IMMUNE SYSTEM%REACTOME DATABASE ID RELEASE 63%1280215	88
EXTERNAL SIDE OF PLASMA MEMBRANE%GOCC%GO:0009897	88
CYTOSOL%GOCC%GO:0005829	87
DEFENSE RESPONSE TO OTHER ORGANISM%GOBP%GO:0098542	87
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	87
IMMUNE EFFECTOR PROCESS%GOBP%GO:0002252	87
PLASMA MEMBRANE REGION%GOCC%GO:0098590	87
MOLECULAR FUNCTION REGULATOR%GOMF%GO:0098772	86
SIGNALING PATHWAYS%REACTOME%R-HSA-162582.6	86
TAXIS%GOBP%GO:0042330	86
CHEMOTAXIS%GOBP%GO:0006935	85
EXTRACELLULAR MATRIX ORGANIZATION%REACTOME%R-HSA-1474244.2	85
INTRINSIC COMPONENT OF PLASMA MEMBRANE%GOCC%GO:0031226	85
POSITIVE REGULATION OF CELL ADHESION%GOBP%GO:0045785	85
ANATOMICAL STRUCTURE FORMATION INVOLVED IN MORPHOGENESIS%GOBP%GO:0048646	84
CARBOHYDRATE DERIVATIVE BINDING%GOMF%GO:0097367	84
NEGATIVE REGULATION OF GENE EXPRESSION%GOBP%GO:0010629	84
ORGANIC SUBSTANCE BIOSYNTHETIC PROCESS%GOBP%GO:1901576	84
POSITIVE REGULATION OF PROGRAMMED CELL DEATH%GOBP%GO:0043068	84
REGULATION OF NEUROGENESIS%GOBP%GO:0050767	84
REGULATION OF SECRETION%GOBP%GO:0051046	84
REGULATION OF TRANSFERASE ACTIVITY%GOBP%GO:0051338	84
TISSUE MORPHOGENESIS%GOBP%GO:0048729	84
NEGATIVE REGULATION OF MOLECULAR FUNCTION%GOBP%GO:0044092	83
BIOSYNTHETIC PROCESS%GOBP%GO:0009058	82
CELL JUNCTION%GOCC%GO:0030054	82
CHEMICAL HOMEOSTASIS%GOBP%GO:0048878	82
NEGATIVE REGULATION OF CELL DIFFERENTIATION%GOBP%GO:0045596	82
CELLULAR MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0044260	81
INTEGRAL COMPONENT OF PLASMA MEMBRANE%GOCC%GO:0005887	81
NEGATIVE REGULATION OF CELLULAR MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:2000113	81
NEGATIVE REGULATION OF PROTEIN METABOLIC PROCESS%GOBP%GO:0051248	81
NEGATIVE REGULATION OF TRANSCRIPTION, DNA-TEMPLATED%GOBP%GO:0045892	81
NUCLEAR PART%GOCC%GO:0044428	81
POSITIVE REGULATION OF IMMUNE RESPONSE%GOBP%GO:0050778	81
REGULATION OF CELL-CELL ADHESION%GOBP%GO:0022407	81
RESPONSE TO CYTOKINE%GOBP%GO:0034097	81
MACROMOLECULAR COMPLEX SUBUNIT ORGANIZATION%GOBP%GO:0043933	80
NEGATIVE REGULATION OF NUCLEIC ACID-TEMPLATED TRANSCRIPTION%GOBP%GO:1903507	80
POSITIVE REGULATION OF APOPTOTIC PROCESS%GOBP%GO:0043065	80
BLOOD MICROPARTICLE%GOCC%GO:0072562	79
CELLULAR COMPONENT BIOGENESIS%GOBP%GO:0044085	79
INNATE IMMUNE SYSTEM%REACTOME%R-HSA-168249.6	79
NEGATIVE REGULATION OF NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0045934	79
NEGATIVE REGULATION OF RNA BIOSYNTHETIC PROCESS%GOBP%GO:1902679	79
REGULATION OF PROTEIN KINASE ACTIVITY%GOBP%GO:0045859	79
SUPRAMOLECULAR COMPLEX%GOCC%GO:0099080	79
SUPRAMOLECULAR POLYMER%GOCC%GO:0099081	79
CELL MORPHOGENESIS%GOBP%GO:0000902	78
CIRCULATORY SYSTEM PROCESS%GOBP%GO:0003013	78
MEMBRANE-ENCLOSED LUMEN%GOCC%GO:0031974	78
NEURON DEVELOPMENT%GOBP%GO:0048666	78
ORGANELLE LUMEN%GOCC%GO:0043233	78
REGULATION OF KINASE ACTIVITY%GOBP%GO:0043549	78
BLOOD CIRCULATION%GOBP%GO:0008015	77
CELL PROJECTION PART%GOCC%GO:0044463	77
CELLULAR COMPONENT ASSEMBLY%GOBP%GO:0022607	77
CYTOSKELETON%GOCC%GO:0005856	77
DNA BINDING%GOMF%GO:0003677	77
HALLMARK_HYPOXIA%MSIGDB_C2%HALLMARK_HYPOXIA	77
INTRACELLULAR ORGANELLE LUMEN%GOCC%GO:0070013	77
NABA_CORE_MATRISOME%MSIGDB_C2%NABA_CORE_MATRISOME	77
NEGATIVE REGULATION OF RNA METABOLIC PROCESS%GOBP%GO:0051253	77
NUCLEAR LUMEN%GOCC%GO:0031981	77
PLASMA MEMBRANE BOUNDED CELL PROJECTION PART%GOCC%GO:0120038	77
RESPONSE TO BACTERIUM%GOBP%GO:0009617	77
SUPRAMOLECULAR FIBER%GOCC%GO:0099512	77
POSITIVE REGULATION OF CYTOKINE PRODUCTION%GOBP%GO:0001819	76
REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051249	76
VASCULATURE DEVELOPMENT%GOBP%GO:0001944	76
IMMUNE SYSTEM DEVELOPMENT%GOBP%GO:0002520	75
TUBE DEVELOPMENT%GOBP%GO:0035295	75
CENTRAL NERVOUS SYSTEM DEVELOPMENT%GOBP%GO:0007417	74
HEMATOPOIETIC OR LYMPHOID ORGAN DEVELOPMENT%GOBP%GO:0048534	74
POSITIVE REGULATION OF CELL ACTIVATION%GOBP%GO:0050867	74
SIGNALING BY INTERLEUKINS%REACTOME%R-HSA-449147.10	74
BLOOD VESSEL DEVELOPMENT%GOBP%GO:0001568	73
CARDIOVASCULAR SYSTEM DEVELOPMENT%GOBP%GO:0072358	73
NEGATIVE REGULATION OF CELLULAR PROTEIN METABOLIC PROCESS%GOBP%GO:0032269	73
POSITIVE REGULATION OF MAPK CASCADE%GOBP%GO:0043410	73
CELL PROJECTION ORGANIZATION%GOBP%GO:0030030	72
CELLULAR NITROGEN COMPOUND METABOLIC PROCESS%GOBP%GO:0034641	72
REGULATION OF CELL PROJECTION ORGANIZATION%GOBP%GO:0031344	72
RNA POLYMERASE II TRANSCRIPTION FACTOR ACTIVITY, SEQUENCE-SPECIFIC DNA BINDING%GOMF%GO:0000981	72
REGULATION OF NEURON DIFFERENTIATION%GOBP%GO:0045664	71
REGULATION OF PLASMA MEMBRANE BOUNDED CELL PROJECTION ORGANIZATION%GOBP%GO:0120035	71
REGULATION OF SECRETION BY CELL%GOBP%GO:1903530	71
REGULATION OF VASCULATURE DEVELOPMENT%GOBP%GO:1901342	71
SOMATODENDRITIC COMPARTMENT%GOCC%GO:0036477	71
HEMOSTASIS%REACTOME%R-HSA-109582.1	70
ORGANELLE ORGANIZATION%GOBP%GO:0006996	70
PLASMA MEMBRANE BOUNDED CELL PROJECTION ORGANIZATION%GOBP%GO:0120036	70
RESPONSE TO HORMONE%GOBP%GO:0009725	70
RESPONSE TO LIPID%GOBP%GO:0033993	70
SEQUENCE-SPECIFIC DNA BINDING%GOMF%GO:0043565	70
CELLULAR RESPONSE TO ENDOGENOUS STIMULUS%GOBP%GO:0071495	69
MACROMOLECULAR COMPLEX BINDING%GOMF%GO:0044877	69
REGULATION OF HEMOPOIESIS%GOBP%GO:1903706	69
RESPONSE TO DRUG%GOBP%GO:0042493	69
CYTOSKELETAL PART%GOCC%GO:0044430	68
HALLMARK_KRAS_SIGNALING_UP%MSIGDB_C2%HALLMARK_KRAS_SIGNALING_UP	68
NEGATIVE REGULATION OF CATALYTIC ACTIVITY%GOBP%GO:0043086	68
NEGATIVE REGULATION OF IMMUNE SYSTEM PROCESS%GOBP%GO:0002683	68
NEURON PROJECTION DEVELOPMENT%GOBP%GO:0031175	68
PHOSPHORUS METABOLIC PROCESS%GOBP%GO:0006793	68
PROTEINACEOUS EXTRACELLULAR MATRIX%GOCC%GO:0005578	68
REGULATION OF SYSTEM PROCESS%GOBP%GO:0044057	68
RNA POLYMERASE II REGULATORY REGION DNA BINDING%GOMF%GO:0001012	68
RNA POLYMERASE II REGULATORY REGION SEQUENCE-SPECIFIC DNA BINDING%GOMF%GO:0000977	68
CELLULAR RESPONSE TO CYTOKINE STIMULUS%GOBP%GO:0071345	67
CYTOPLASMIC VESICLE%GOCC%GO:0031410	67
DEVELOPMENTAL BIOLOGY%REACTOME%R-HSA-1266738.4	67
HEART DEVELOPMENT%GOBP%GO:0007507	67
POSITIVE REGULATION OF CELL DEVELOPMENT%GOBP%GO:0010720	67
PROTEIN COMPLEX SUBUNIT ORGANIZATION%GOBP%GO:0071822	67
RESPONSE TO ORGANIC CYCLIC COMPOUND%GOBP%GO:0014070	67
TRANSCRIPTION REGULATOR ACTIVITY%GOMF%GO:0140110	67
CELL ACTIVATION%GOBP%GO:0001775	66
CELLULAR RESPONSE TO STRESS%GOBP%GO:0033554	66
HEMOPOIESIS%GOBP%GO:0030097	66
INFLAMMATORY RESPONSE%GOBP%GO:0006954	66
INTRACELLULAR VESICLE%GOCC%GO:0097708	66
MORPHOGENESIS OF AN EPITHELIUM%GOBP%GO:0002009	66
MUSCLE STRUCTURE DEVELOPMENT%GOBP%GO:0061061	66
PHOSPHATE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0006796	66
TRANSCRIPTION REGULATORY REGION SEQUENCE-SPECIFIC DNA BINDING%GOMF%GO:0000976	66
CELLULAR RESPONSE TO OXYGEN-CONTAINING COMPOUND%GOBP%GO:1901701	65
NEGATIVE REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER%GOBP%GO:0000122	65
POSITIVE REGULATION OF LEUKOCYTE ACTIVATION%GOBP%GO:0002696	65
POSITIVE REGULATION OF RESPONSE TO EXTERNAL STIMULUS%GOBP%GO:0032103	65
REGULATION OF CELL CYCLE%GOBP%GO:0051726	65
REGULATION OF ERK1 AND ERK2 CASCADE%GOBP%GO:0070372	65
SMALL MOLECULE METABOLIC PROCESS%GOBP%GO:0044281	65
TRANSCRIPTION REGULATORY REGION DNA BINDING%GOMF%GO:0044212	65
CELL PROLIFERATION%GOBP%GO:0008283	64
CELLULAR BIOSYNTHETIC PROCESS%GOBP%GO:0044249	64
DOUBLE-STRANDED DNA BINDING%GOMF%GO:0003690	64
INNATE IMMUNE RESPONSE%GOBP%GO:0045087	64
REGULATION OF HYDROLASE ACTIVITY%GOBP%GO:0051336	64
REGULATION OF INFLAMMATORY RESPONSE%GOBP%GO:0050727	64
REGULATION OF ORGANELLE ORGANIZATION%GOBP%GO:0033043	64
REGULATION OF PROTEIN LOCALIZATION%GOBP%GO:0032880	64
REGULATORY REGION NUCLEIC ACID BINDING%GOMF%GO:0001067	64
RESPONSE TO ABIOTIC STIMULUS%GOBP%GO:0009628	64
TRANSCRIPTION FACTOR ACTIVITY, RNA POLYMERASE II PROXIMAL PROMOTER SEQUENCE-SPECIFIC DNA BINDING%GOMF%GO:0000982	64
CELL MORPHOGENESIS INVOLVED IN DIFFERENTIATION%GOBP%GO:0000904	63
CYTOSKELETAL PROTEIN BINDING%GOMF%GO:0008092	63
NABA_ECM_GLYCOPROTEINS%MSIGDB_C2%NABA_ECM_GLYCOPROTEINS	63
NEGATIVE REGULATION OF LOCOMOTION%GOBP%GO:0040013	63
POSITIVE REGULATION OF TRANSFERASE ACTIVITY%GOBP%GO:0051347	63
REGULATION OF ANGIOGENESIS%GOBP%GO:0045765	63
REGULATION OF GROWTH%GOBP%GO:0040008	63
SYNAPSE%GOCC%GO:0045202	63
CATION BINDING%GOMF%GO:0043169	62
DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:0042742	62
POSITIVE REGULATION OF NERVOUS SYSTEM DEVELOPMENT%GOBP%GO:0051962	62
POSITIVE REGULATION OF NEUROGENESIS%GOBP%GO:0050769	62
REGULATION OF PEPTIDE TRANSPORT%GOBP%GO:0090087	62
SEQUENCE-SPECIFIC DOUBLE-STRANDED DNA BINDING%GOMF%GO:1990837	62
NEGATIVE REGULATION OF PHOSPHORYLATION%GOBP%GO:0042326	61
PROTEIN COMPLEX BINDING%GOMF%GO:0032403	61
RESPONSE TO WOUNDING%GOBP%GO:0009611	61
SENSORY ORGAN DEVELOPMENT%GOBP%GO:0007423	61
